publisher,videos,bm,en,cn,views,shorts,shorts_views,live,live_views
Free Malaysia Today,131,47,84,0,2916052,125,2893742,0,0
Malaysiakini / KiniTV,90,34,56,0,2107244,8,141938,9,534960
Buletin TV3 (Media Prima),363,262,101,0,1773882,82,779580,20,466674
Sin Chew (Pocketimes),85,0,0,85,1713120,56,1006197,8,492994
Astro Awani,238,177,61,0,1173119,80,341137,25,384437
Sinar Harian,50,38,12,0,1072147,36,660520,11,408176
mStar,31,24,7,0,652883,31,652883,0,0
The Star,57,0,57,0,595461,1,21106,0,0
Berita Harian,126,95,31,0,380567,63,220176,10,93075
New Straits Times,43,0,43,0,296777,30,251016,10,33436
Nanyang / eNanyang,4,0,0,4,14420,3,3837,0,0
