publisher,title,url,published_myt,views,likes,comments,language,format,duration_s,channel_id
Astro Awani,[LANGSUNG] #PRNNegeriSembilan | Keputusan Tidak Rasmi | 1 Ogos 2026,https://www.youtube.com/watch?v=WtO5zTlGHqA,2026-08-01 12:00,98848,0,0,BM,LIVE,19351,UC5dYmq91e5_g54krpO06NJw
Astro Awani,"[LANGSUNG] #PRNNegeriSembilan | Pilihan dah dibuek, siapo monang? | 1 Ogos 2026",https://www.youtube.com/watch?v=p3uMSRl1ANk,2026-08-01 12:00,55109,0,0,BM,LIVE,13326,UC5dYmq91e5_g54krpO06NJw
Astro Awani,"“Jangan ambil peduli semua itu dengan Pilihanraya Negeri Sembilan. Tak ado kono mengono!""",https://www.youtube.com/watch?v=EYCO_qf3GdM,2026-07-30 12:00,50340,441,0,BM,SHORT,0,UC5dYmq91e5_g54krpO06NJw
Astro Awani,[LANGSUNG] Majlis Istiadat Mengangkat Sumpah Jawatan Menteri Besar Negeri Sembilan | 2 Ogos 2026,https://www.youtube.com/watch?v=-P1XlfrtrQU,2026-08-01 12:00,49136,0,0,BM,LIVE,3920,UC5dYmq91e5_g54krpO06NJw
Astro Awani,[LANGSUNG] #PRNNegeriSembilan | Sidang Media Pakatan Harapan (PH) | 1 Ogos 2026,https://www.youtube.com/watch?v=5EBSf4nSKb0,2026-08-01 12:00,42995,0,0,BM,LIVE,1671,UC5dYmq91e5_g54krpO06NJw
Astro Awani,"""Lengang sampai boleh main bola"", luah peniaga Pasar Awam Kuala Klawang",https://www.youtube.com/watch?v=FfN0hP1vRbA,2026-07-27 12:00,38140,236,0,BM,VIDEO,260,UC5dYmq91e5_g54krpO06NJw
Astro Awani,Kerusi majoriti tipis pada PRN Negeri Sembilan 2023,https://www.youtube.com/watch?v=isT0F0_7ias,2026-08-01 12:00,30706,166,0,BM,VIDEO,291,UC5dYmq91e5_g54krpO06NJw
Astro Awani,Suasana semasa di luar kediaman rasmi MB Negeri Sembilan,https://www.youtube.com/watch?v=fjWeI5tsgxQ,2026-08-01 12:00,21074,107,0,BM,VIDEO,221,UC5dYmq91e5_g54krpO06NJw
Astro Awani,#PRNNegeriSembilan: Tok Mat dan keluarga selesai mengundi di DUN Rantau,https://www.youtube.com/watch?v=LQYeFk8o9TA,2026-07-31 12:00,20625,341,0,BM,SHORT,0,UC5dYmq91e5_g54krpO06NJw
Astro Awani,Ismail Lasim dilantik Menteri Besar Negeri Sembilan shahas,https://www.youtube.com/watch?v=R4TqjdEc8Ok,2026-08-01 12:00,19860,211,0,BM,SHORT,0,UC5dYmq91e5_g54krpO06NJw
Astro Awani,#PRNNegeriSembilan | Analisis Komprehensif Hari Pengundian & Keputusan | 1 Ogos 2026,https://www.youtube.com/watch?v=oP-H3rnddcw,2026-08-01 12:00,18512,0,0,BM,LIVE,16600,UC5dYmq91e5_g54krpO06NJw
Astro Awani,"[DATA & STATISTIK] Prestasi PH, BN dan PN di Negeri Sembilan",https://www.youtube.com/watch?v=kjBNm3hEau0,2026-08-01 12:00,18307,83,0,BM,VIDEO,323,UC5dYmq91e5_g54krpO06NJw
Astro Awani,[TIDAK RASMI] Keputusan N.27 Rantau dan N.32 Linggi dan N.20 Labu,https://www.youtube.com/watch?v=W6EcweBZylM,2026-08-01 12:00,17751,172,0,BM,SHORT,0,UC5dYmq91e5_g54krpO06NJw
Astro Awani,#PRNNegeriSembilan | Analisis Komprehensif Hari Pengundian & Keputusan PRN N. Sembilan | 1 Ogos 2026,https://www.youtube.com/watch?v=Dzud-fhPfl0,2026-07-31 12:00,17161,0,0,BM,LIVE,28656,UC5dYmq91e5_g54krpO06NJw
Astro Awani,[LANGSUNG] Pengumuman calon Bersatu PRN Negeri Sembilan | 17 Julai 2026,https://www.youtube.com/watch?v=zx__xVJTVz4,2026-07-17 12:00,17152,0,0,BM,LIVE,3896,UC5dYmq91e5_g54krpO06NJw
Astro Awani,[TERKINI] Majlis Istiadat pelantikan dan mengangkat sumpah jawatan Menteri Besar Negeri Sembilan,https://www.youtube.com/watch?v=hwQn0AVfu2I,2026-08-01 12:00,16988,122,0,BM,VIDEO,2718,UC5dYmq91e5_g54krpO06NJw
Astro Awani,Perkembangan proses pengundian di DUN N.01 Chennah setakat 12 tengah hari,https://www.youtube.com/watch?v=N6_RWm07iDc,2026-07-31 12:00,16757,114,0,EN,VIDEO,650,UC5dYmq91e5_g54krpO06NJw
Astro Awani,Mohd Faizal terbuka terima cabaran Aminuddin di Linggi,https://www.youtube.com/watch?v=mNDWEqGeSts,2026-07-18 12:00,16580,144,0,EN,SHORT,0,UC5dYmq91e5_g54krpO06NJw
Astro Awani,[TIDAK RASMI] Keputusan N.32 Linggi dan N.01 Chennah,https://www.youtube.com/watch?v=o7yq2QW5Yec,2026-08-01 12:00,14737,95,0,BM,VIDEO,170,UC5dYmq91e5_g54krpO06NJw
Astro Awani,[TIDAK RASMI] Keputusan N.27 Rantau dan N.32 Linggi dan N.20 Labu,https://www.youtube.com/watch?v=RnZg6LuHtwU,2026-08-01 12:00,14537,62,0,BM,VIDEO,167,UC5dYmq91e5_g54krpO06NJw
Astro Awani,"[TIDAK RASMI] Keputusan N.16 Seri Menanti, N.10 Nilai dan N.02 Pertang",https://www.youtube.com/watch?v=84oVTgnHwYs,2026-08-01 12:00,14017,48,0,BM,VIDEO,182,UC5dYmq91e5_g54krpO06NJw
Astro Awani,[LANGSUNG] Sidang Media Ketua Polis Negeri Sembilan | 28 Julai 2026,https://www.youtube.com/watch?v=OdNx2y-mW5k,2026-07-27 12:00,13367,0,0,BM,LIVE,1035,UC5dYmq91e5_g54krpO06NJw
Astro Awani,Aminuddin berdepan saingan tiga penjuru di DUN Linggi,https://www.youtube.com/watch?v=9DCx2KjU_9o,2026-07-18 12:00,13093,83,0,EN,SHORT,0,UC5dYmq91e5_g54krpO06NJw
Astro Awani,[LANGSUNG] Hari Penamaan Calon PRN Negeri Sembilan | 18 Julai 2026,https://www.youtube.com/watch?v=uZTGAvrYitw,2026-07-17 12:00,12759,0,0,BM,LIVE,10970,UC5dYmq91e5_g54krpO06NJw
Astro Awani,[TIDAK RASMI] Keputusan N.18 Pilah dan N.12 Temiang,https://www.youtube.com/watch?v=kFwVFuVHfqE,2026-08-01 12:00,12546,92,0,BM,SHORT,0,UC5dYmq91e5_g54krpO06NJw
Astro Awani,"Perkembangan pusat mengundi di SJK (C) Kelpin, Seremban setakat 8 pagi",https://www.youtube.com/watch?v=x_iGapsN658,2026-07-31 12:00,11956,84,0,BM,VIDEO,586,UC5dYmq91e5_g54krpO06NJw
Astro Awani,Anwar dijangka turun berkempen PRN Negeri Sembilan,https://www.youtube.com/watch?v=pehzniNoZ54,2026-07-20 12:00,11821,187,0,BM,SHORT,0,UC5dYmq91e5_g54krpO06NJw
Astro Awani,[DATA & STATISTIK] Kerusi bertukar tangan pada PRN Negeri Sembilan 2023,https://www.youtube.com/watch?v=OKTm_tvNddc,2026-08-01 12:00,11480,53,0,BM,VIDEO,132,UC5dYmq91e5_g54krpO06NJw
Astro Awani,"[TIDAK RASMI] Keputusan N.32 Linggi, N.24 Seremban Jaya, N.35 Gemencheh dan N.29 Chuah",https://www.youtube.com/watch?v=v3x0R8q9OYk,2026-08-01 12:00,11247,32,0,BM,VIDEO,201,UC5dYmq91e5_g54krpO06NJw
Astro Awani,Negeri Sembilan tarik balik dua darjah kebesaran Rais Yatim serta merta,https://www.youtube.com/watch?v=a62w_MCZVi8,2026-07-29 12:00,11164,124,0,BM,SHORT,0,UC5dYmq91e5_g54krpO06NJw
Astro Awani,"#NegeriSembilanStateElection: Tok Mat's brother casts his vote, Datuk Azman Hasan with his wife",https://www.youtube.com/watch?v=RJTln9K_MLU,2026-07-31 12:00,11119,173,0,EN,SHORT,0,UC5dYmq91e5_g54krpO06NJw
